наименование,изготовитель,номер_свидетельства_и_дата,этикетка,происхождение,противопоказания,срок_годности,год_регистрации,количество_групп_компонентов,пищевые_вещества_витамины_витаминоподобные_вещества_и_коферменты,пищевые_вещества_макро_и_микроэлементы,пищевые_вещества_жиры_жироподобные_вещества_и_их_производные,пищевые_вещества_белки_пептиды_аминокислоты_нуклеиновые_кислоты,минорные_компоненты_растений_фенольные_соединения,минорные_компоненты_растений_алкалоиды,пробиотики_в_монокультурах_и_ассоциациях_пробиотические_микроорганизмы,пищевые_вещества_углеводы_и_продукты_их_переработки,минорные_компоненты_растений_сапонины,минорные_компоненты_растений_терпеноиды,минорные_компоненты_растений_естественные_метаболиты_и_стимуляторы_метаболизма,минорные_компоненты_растений_гидроксикоричные_кислоты,минорные_компоненты_растений_ферменты,минорные_компоненты_растений_дубильные_вещества,минеральные_и_минерало_органические_природные_субстанции_цеолиты_и_гуминовые_кислоты,система_органов_для_беременных_кормящих_и_планирующих_беременность,система_органов_костно_мышечная_система,система_органов_нервная_система,система_органов_иммунная_система,система_органов_пищеварительный_тракт_и_обмен_веществ,система_органов_мочеполовая_система,система_органов_дерматологические_бад,система_органов_органы_чувств,система_органов_сердечно_сосудистая_система,система_органов_противоопухолевые_бад,система_органов_противопаразитарные_бад,система_органов_дыхательная_система,система_органов_кровь_и_система_кроветворения,система_органов_противомикробные_бад,форма_выпуска,продолжительность_приема,происхождение_природное_синтетическое,сырье,группа_населения_предназначен_для_детей,группа_населения_возраст_детей,группа_населения_предназначен_для_взрослых,группа_населения_пол,группа_населения_пожилые,рекомендации_по_применению,количество_единиц_на_прием,количество_приемов_в_день,суммарное_количество_единиц_за_период,ингредиент_описание,ингредиент_кир,ингредиент_лат,биологически_активные_вещества,системы_органов,группа_населения
"биологически активная добавка к пище ""Для него"" товарного знака ""Доппельгерц®"" (капсулы массой 955 мг)","""Квайссер Фарма ГмбХ и Ко. КГ"" Шлезвигер Штрассе 74, 24941 Фленсбург (Гeрмания)",RU.77.99.11.003.R.003045.08.21 от 13.08.2021,"Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением необходимо проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушения сердечной деятельности, выраженный атеросклероз. Перед применением необходимо проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С",0,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: мужчинам по 1 капсуле в день во время еды, запивая водой. Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением необходимо проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушения сердечной деятельности, выраженный атеросклероз. Перед применением необходимо проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С",36.0,2021,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,твердое,1,1,"Экстракт корня маки перуанской (Мака перуанская - Lepidium meyenii), экстракт корня сибирского женьшеня (Элеутерококк колючий - Eleutherococcus senticosus), ликопин (Томат съедобный - Solanum lycopersicum), экстракт сосновой коры массона (Сосна массона - Pinus massoniana)",0,,1,мужчины,0,"Рекомендации по применению: мужчинам по 1 капсуле в день во время еды, запивая водой",1,1,30,"экстракт корня маки перуанской, экстракт корня сибирского женьшеня, ликопин, экстракт сосновой коры массона","мака перуанская, элеутерококк колючий, томат съедобный, сосна массона","lepidium meyenii, eleutherococcus senticosus, solanum lycopersicum, pinus massoniana","вит, элементы, аминокислоты, фенольн","иммунитет, сердце","взрослые, мужчины"
"биологически активная добавка к пище ""Nutrilite™ Balance Within™ Пробиотик"" (""Nutrilite™ Balance Within™ Probiotic"") (порошок в саше по 1,5 г)","Danisco USA Inc. (DuPont Nutrition & Biosciences) 3322-3329 Agriculture Drive, Madison, WI 53716 USA (США), упаковано: Erbozeta S.p.A, Strada delle Seriole, 41/43 - 47894 Chiesanuova (RSM) (Сан-Марино)",RU.77.99.11.003.R.003046.08.21 от 13.08.2021,"Содержимое саше развести в стакане воды (сок, молоко, йогурт) или добавить в не горячую пищу. БАД также можно употреблять в неразбавленном виде: содержимое саше высыпать на язык, затем проглотить. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов продукта. Перед применением рекомендуется проконсультироваться с врачом. Беременным и кормящим женщинам принимать под наблюдением врача. Срок годности - 18 месяцев. Хранить в плотно закрытой упаковке в сухом, недоступном для детей месте при температуре не выше 25°С",0,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым одно саше один раз в день во время еды. Содержимое саше развести в стакане воды (сок, молоко, йогурт) или добавить в не горячую пищу. БАД также можно употреблять в неразбавленном виде: содержимое саше высыпать на язык, затем проглотить. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов продукта. Перед применением рекомендуется проконсультироваться с врачом. Беременным и кормящим женщинам принимать под наблюдением врача. Срок годности - 18 месяцев. Хранить в плотно закрытой упаковке в сухом, недоступном для детей месте при температуре не выше 25°С",18.0,2021,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,сыпучее,1,1,"Бифидобактерии bifidobacterium animalis subsp. lactis (Bifidobacterium animalis subsp. lactis - Bifidobacterium animalis subsp. lactis), лактобактерии lactobacillus acidophilus (Lactobacillus acidophilus - Lactobacillus acidophilus)",0,,1,,0,"Рекомендации по применению: взрослым одно саше один раз в день во время еды. Содержимое саше развести в стакане воды (сок, молоко, йогурт) или добавить в не горячую пищу. БАД также можно употреблять в неразбавленном виде: содержимое саше высыпать на язык, затем проглотить",,1,,"бифидобактерии bifidobacterium animalis subsp. lactis, лактобактерии lactobacillus acidophilus","bifidobacterium animalis subsp. lactis, lactobacillus acidophilus","bifidobacterium animalis subsp. lactis, lactobacillus acidophilus","вит, пробиотики",жкт,взрослые
"биологически активная добавка к пище ""АСКО®ВИТ"" со вкусом апельсина или банана, или лимона, или вишни, или клубники, или малины (жевательные таблетки массой 500,0 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003050.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения углеводного обмена. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям старше 3-х лет принимать (разжевывая) по 1 таблетке 2 раза в день, взрослым по 1 таблетке 2 - 4 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения углеводного обмена. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",24.0,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,0,,1,36.0,1,,0,"Рекомендации по применению: детям старше 3-х лет принимать (разжевывая) по 1 таблетке 2 раза в день, взрослым по 1 таблетке 2 - 4 раза в день во время еды",1,4,120,,,,вит,жкт,"дети, 36, взрослые"
"биологически активная добавка к пище ""Овса комплекс Форте"" (таблетки, покрытые оболочкой, массой 165,0 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003051.08.21 от 16.08.2021,"Продолжительность приема - 20 дней. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 20 дней. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",36.0,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт овса (Овёс посевной - Avena sativa), экстракт цветков бессмертника (Бессмертник песчаный - Helichrysum arenarium), экстракт листьев мяты перечной (Мята перечная - Mentha piperita), экстракт куркумы (Куркума длинная - Curcuma longa)",0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды,1,2,60,"экстракт овса, экстракт цветков бессмертника, экстракт листьев мяты перечной, экстракт куркумы","овёс посевной, бессмертник песчаный, мята перечная, куркума длинная","avena sativa, helichrysum arenarium, mentha piperita, curcuma longa",фенольн,жкт,взрослые
"биологически активная добавка к пище ""макроэлемент В6 комплекс с фолиевой кислотой "" (таблетки массой 610,0 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003052.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 2-3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",36.0,2021,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,твердое,1,0,,1,168.0,1,,0,Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 2-3 раза в день во время еды,2,3,180,,,,"вит, элементы","нервная, сердце","дети, 168, взрослые"
"биологически активная добавка к пище ""ЛАКАРТ"" со вкусом ванили или клубники или малины (жидкость в стик-пакетах по 5 мл, 10 мл; во флаконах от 50 до 300 мл)","ООО ""Гротекс"", 195279, г. Санкт-Петербург, Индустриальный проспект, д. 71, корп. 2, литера А (адрес места осуществления деятельности по изготовлению продукции: 195253, г. Санкт-Петербург, Лапинский пр., 13, лит. Ж) (Российская Федерация)",RU.77.99.11.003.R.003058.08.21 от 16.08.2021,"Перед употреблением продукт рекомендуется размешать/взболтать. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Срок годности - 18 месяцев. Хранить в оригинальной упаковке, в защищенном от попадания прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С. После вскрытия упаковки продукт хранить в холодильнике. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, нарушения углеводного обмена. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра",1,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: детям от 3 до 14 лет по 5 мл (1 стик-пакет по 5 мл или 1 чайная ложка) 2 раза в день или по 10 мл (1 стик-пакет по 10 мл или 2 стик-пакета по 5 мл или 2 чайные ложки) 1 раз в день во время еды, детям старше 14 лет и взрослым по 10 мл (1 стик-пакет по 10 мл или 2 стик-пакета по 5 мл или 2 чайные ложки) 2 раза в день, во время еды. Перед употреблением продукт рекомендуется размешать/взболтать. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Срок годности - 18 месяцев. Хранить в оригинальной упаковке, в защищенном от попадания прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С. После вскрытия упаковки продукт хранить в холодильнике. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, нарушения углеводного обмена. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра",18.0,2021,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,жидкое,1,0,,1,36.0,1,,0,"Рекомендации по применению: детям от 3 до 14 лет по 5 мл (1 стик-пакет по 5 мл или 1 чайная ложка) 2 раза в день или по 10 мл (1 стик-пакет по 10 мл или 2 стик-пакета по 5 мл или 2 чайные ложки) 1 раз в день во время еды, детям старше 14 лет и взрослым по 10 мл (1 стик-пакет по 10 мл или 2 стик-пакета по 5 мл или 2 чайные ложки) 2 раза в день, во время еды. Перед употреблением продукт рекомендуется размешать/взболтать",5,2,300,,,,"вит, элементы","суставы, сердце","дети, 36, взрослые"
"биологически активная добавка к пище ""Липотропный фактор"" (таблетки, покрытые оболочкой, массой 1440,0 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003059.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке 3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",24.0,2021,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Инозитол (Рис посевной - Oryza sativa), холин (Корова домашняя - Bos taurus)",0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке 3 раза в день во время еды,1,3,90,"инозитол, холин","рис посевной, корова домашняя","oryza sativa, bos taurus","вит, аминокислоты",жкт,взрослые
"биологически активная добавка к пище ""Иммуно комплекс с куркумой и имбирем"" (таблетки, покрытые оболочкой, массой 166,4 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003060.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 2 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",24.0,2021,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт корня имбиря (Имбирь аптечный - Zingiber officinale), экстракт куркумы (Куркума длинная - Curcuma longa)",1,168.0,1,,0,Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 2 раза в день во время еды,2,2,120,"экстракт корня имбиря, экстракт куркумы","имбирь аптечный, куркума длинная","zingiber officinale, curcuma longa","фенольн, алкалоиды",иммунитет,"дети, 168, взрослые"
"биологически активная добавка к пище ""Bodyflex Boswellia""/ ""Бодифлекс Босвеллия"" (капсулы массой 400 мг)","""Hankintatukku Arno Latvus Oy/ Ханкинтатукку Арно Латвус Ой"", Юридический адрес: Museokatu 13B, 00100, Helsinki/ Музеокату 13 Б, 00100 Хельсинки, Финляндия (адрес места осуществления деятельности по изготовлению продукции: Lehtolankatu 18, 03600 Karkkila/ Лехтоланкату 18, 03600 Карккила) (Финляндия)",RU.77.99.11.003.R.003061.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, защищённом от прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С",0,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды, запивая водой. Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, защищённом от прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С",36.0,2021,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,Экстракт босвеллии пильчатой (Босвеллия пильчатая - Boswellia serrata),0,,1,,0,"Рекомендации по применению: взрослым по 1 капсуле в день во время еды, запивая водой",1,1,30,экстракт босвеллии пильчатой,босвеллия пильчатая,boswellia serrata,"фенольн, ест",жкт,взрослые
"биологически активная добавка к пище ""макроэлемент В6"" (таблетки, покрытые оболочкой, массой 634,0 мг±10%)","ООО ""Квадрат-С"", 115230, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, пр-д Хлебозаводский, д. 7, стр. 10, этаж 2, помещ. 223 (адрес места осуществления деятельности по изготовлению продукции: 612711, Кировская область, Омутнинский р-н, пгт. Восточный, ул. Заводская, д. 1) (Российская Федерация)",RU.77.99.11.003.R.003062.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С",36.0,2021,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,твердое,1,0,,1,168.0,1,,0,Рекомендации по применению: взрослым и детям старше 14 лет по 2 таблетки 3 раза в день во время еды,2,3,180,,,,"вит, элементы",нервная,"дети, 168, взрослые"
"биологически активная добавка к пище ""Боровая матка П (ортилия однобокая)"" (россыпь в в пачках по 25 - 100 г; фильтр-пакеты по 1,5 г, 2,0 г)","ООО ""ПАРАФАРМ"", 198334, г. Санкт-Петербург, вн.тер.г. муниципальный округ Урицк, ул. Добровольцев, д. 62, литера А, кв. 98 (адрес места осуществления деятельности по изготовлению продукции: 440034, г. Пенза, ул. макроэлементынина, 116 А) (Российская Федерация)",RU.77.99.88.003.R.003076.08.21 от 16.08.2021,"Принимать взрослым по 1/2 стакана настоя (100 мл) 1 раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годно-сти - 2 года. Хранить в сухом и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: 1 фильтр-пакет (по 1,5 г или 2,0 г) или 1 чайную ложку россыпи (1,5 - 2,0 г) залить 1 стаканом (200 мл) кипятка, настоять 10-15 мин, процедить или отжать фильтр-пакет. Принимать взрослым по 1/2 стакана настоя (100 мл) 1 раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годно-сти - 2 года. Хранить в сухом и недоступном для детей месте при температуре не выше 25°С",24.0,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,сборы,1,1,Трава ортилии однобокой (Ортилия однобокая - Orthilia secunda),0,,1,,0,"Рекомендации по применению: 1 фильтр-пакет (по 1,5 г или 2,0 г) или 1 чайную ложку россыпи (1,5 - 2,0 г) залить 1 стаканом (200 мл) кипятка, настоять 10-15 мин, процедить или отжать фильтр-пакет. Принимать взрослым по 1/2 стакана настоя (100 мл) 1 раз в день во время еды",1,1,30,трава ортилии однобокой,ортилия однобокая,orthilia secunda,фенольн,почки,взрослые
"биологически активная добавка к пище ""SELENFITO (микроэлементыФИТО)"" (таблетки массой 505 мг)","ООО ""ПАРАФАРМ"", 198334, г. Санкт-Петербург, вн.тер.г. муниципальный округ Урицк, ул. Добровольцев, д. 62, литера А, кв. 98 (адрес места осуществления деятельности по изготовлению продукции: 440034, г. Пенза, ул. макроэлементынина, 116 А) (Российская Федерация)",RU.77.99.88.003.R.003077.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом и недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом и недоступном для детей месте при температуре не выше 25°С",24.0,2021,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,твердое,1,1,Трава астрагала шерстистоцветкового (Астрагал шерстистоцветковый - Astragalus dasyanthus),0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке в день во время еды,1,1,30,трава астрагала шерстистоцветкового,астрагал шерстистоцветковый,astragalus dasyanthus,"элементы, фенольн, сапонины",сердце,взрослые
"биологически активная добавка к пище ""HONDRO-VIT FORTE (ХОНДРО-ВИТ ФОРТЕ)"" (таблетки массой 505 мг)","ООО ""ПАРАФАРМ"", 198334, г. Санкт-Петербург, вн.тер.г. муниципальный округ Урицк, ул. Добровольцев, д. 62, литера А, кв. 98 (адрес места осуществления деятельности по изготовлению продукции: 440034, г. Пенза, ул. макроэлементынина, 116 А) (Российская Федерация)",RU.77.99.88.003.R.003079.08.21 от 16.08.2021,"Продолжительность приема - 1 месяц. При необходимости приём можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, аллергические реакции на продукты пчеловодства, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Продолжительность приема - 1 месяц. При необходимости приём можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, аллергические реакции на продукты пчеловодства, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С",24.0,2021,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,твердое,1,1,"Пыльца цветочная (Пчела медоносная - Apis mellifera), корни одуванчика лекарственного (Одуванчик лекарственный - Taraxacum officinale), плоды шиповника майского (Шиповник майский - Rosa majalis), гомогенат трутневый адсорбированный (Пчела медоносная - Apis mellifera), дигидрокверцетин (Лиственница сибирская - Larix sibirica)",0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке в день во время еды,1,1,30,"цветочная пыльца, корень одуванчика лекарственного, плоды шиповника майскогоплоды шиповника майского, гомогенат трутневый адсорбированный, дигидрокверцетин","пчела медоносная, одуванчик лекарственный, шиповник майский, пчела медоносная, лиственница сибирская","apis mellifera, taraxacum officinale, rosa majalis, apis mellifera, larix sibirica","вит, фенольн",суставы,взрослые
